"comid","variable","n_years","value_mean","ols_slope","ols_pvalue","mk_tau","mk_pvalue","sen_slope","sen_slope_rel","trend_direction"
620828706,"population",9,444.945468478733,5.17653198242188,1.81524045893342e-09,1,0.000263260802703515,25.9563011169435,5.83359151980758,"aumento"
620828722,"pop_density",9,193.948601408825,1.71670010931443,1.57432262556381e-08,1,0.000263260802703515,8.46949501405335,4.36687604475191,"aumento"
620828722,"population",9,5744.11968315972,50.8430110677084,1.57432262556378e-08,1,0.000263260802703515,250.838586425781,4.36687604475191,"aumento"
620828731,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620828731,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620828734,"pop_density",9,11.0694611329922,0.106144749343953,0.00344417869422276,0.722222222222222,0.00914914757959376,0.610795231928298,5.51784070236119,"aumento"
620828734,"population",9,98.2870347764756,0.942471593221025,0.00344417869422272,0.722222222222222,0.00914914757959376,5.42332201004025,5.51784070236117,"aumento"
620828750,"pop_density",9,0.105860462587052,0.00106278492442394,1.65073156381643e-05,0.944444444444444,0.000580666545949214,0.0055192242784458,5.21367859497795,"aumento"
620828750,"population",9,2.90564356909858,0.0291711759567261,1.65073156381679e-05,0.944444444444444,0.000580666545949214,0.151490916808447,5.21367859497798,"aumento"
620828752,"pop_density",9,0.0256938465888295,0.000359213959469777,7.74964698606009e-07,1,0.000263260802703515,0.00172341253938152,6.70749135760301,"aumento"
620828752,"population",9,0.17159193340275,0.00239894861976306,7.74964698606236e-07,1,0.000263260802703515,0.0115095141033335,6.70749135760308,"aumento"
620830059,"pop_density",9,5003.75276665225,49.0331047552352,2.19635082148533e-11,1,0.000263260802703515,245.991625285667,4.91614267845306,"aumento"
620830059,"population",9,2024.30919053819,19.8367443847656,2.19635082148513e-11,1,0.000263260802703515,99.5179280598973,4.91614267845313,"aumento"
620830083,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620830083,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620830098,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620830098,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620830107,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620830107,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620830128,"pop_density",9,0.111325526774146,0.00154676326729761,3.87025348372957e-07,1,0.000263260802703515,0.00760324813801088,6.82974368801874,"aumento"
620830128,"population",9,5.51520042949253,0.0766285117467245,3.87025348373016e-07,1,0.000263260802703515,0.376674053214845,6.82974368801869,"aumento"
620831442,"pop_density",9,26.9214205955389,0.293603486772783,2.9728975977201e-09,1,0.000263260802703515,1.46504463041647,5.44192913303856,"aumento"
620831442,"population",9,683.985365125868,7.45950561523438,2.97289759772075e-09,1,0.000263260802703515,37.2219988505045,5.44192913303853,"aumento"
620831456,"pop_density",9,14.49694932157,0.18233624432055,1.26834142328318e-08,1,0.000263260802703515,0.929270738781412,6.41011234962896,"aumento"
620831456,"population",9,193.921190049913,2.43905532836914,1.26834142328275e-08,1,0.000263260802703515,12.4305661519368,6.4101123496289,"aumento"
620831459,"pop_density",9,7.50311348371297,0.0558524413082338,5.61624940812977e-05,0.888888888888889,0.00122938491894486,0.27261351955954,3.63333861538017,"aumento"
620831459,"population",9,142.615889655219,1.06161870320637,5.61624940812968e-05,0.888888888888889,0.00122938491894486,5.18171819051125,3.63333861538031,"aumento"
